mmsi,SHIP_IMO,SHIP_NO,SHIP_TYPE_CODE,SHIP_DWT,SHIP_GROSSTON,SHIP_SPEED,SHIP_BREADTH,SHIP_DEPTH,SHIP_LENGTH,SHIP_ENGINE_POWER,SHIP_BUILT_YEAR,N,vesselType,TEUCapacity,lengthOverall
441611000,9445289,CHK-2998,散货船,228800,116955,14,52.48,24,324.99,22500,2011,137,bulk ore carrier,,324.99
477202900,9793947,CHK-5092,集装箱船,132711,113828,22,48.2,22.94,318.81,42350,2015,194,fully cellular containership,11923,330
477413300,9641845,CHK-3444,散货船,7798,5357,12,17.6,8.4,119.9,2206,2011,132,general cargo,,119.95
538090558,9037123,B9037123,油船,38669,24252,14.2,28,,190,8380,2010,145,product tanker,,190
538090558,9037123,A030110000158,油船,38615,24252,14,28,16.8,190,8380,2001,145,product tanker,,190
412077340,9320178,A060016000039,散货船,3648,2849,11,15,7.4,93,1760,2006,146,chemical tanker,,92.52
413526840,9829590,A110517000009,液化气船,3130,3804,13.5,16.5,7.2,99.97,2720,2017,164,Liquefied Petroleum Gas Carrier,,99.97
414284000,9188805,A061417000002,滚装船,10817,33831,18.5,28,29.25,164,10010,1999,163,vehicle carrier,,164
414284000,9188805,A061417000002,滚装船,10817,33831,18.5,28,29.25,164,10010,1999,163,vehicle carrier,,164
414293000,9450923,A110017000003,集装箱船,54327,42112,24.5,32.2,19.2,260.31,36560,2009,100,fully cellular containership,4380,260.31
567005000,9117137,B9117137,集装箱船,21813,15533,18.5,25,13.6,171,16700,1996,196,,,
636018972,9849746,B9849746,散货船,207992,107879,14,50,25,299.95,15131,2020,11,bulk ore carrier,,299.95
412176000,9662930,A010014000054,散货船,75347,40943,12,32.26,19.6,224.95,8833,2014,56,,,
413473010,9471197,A140013000060,滚装船,5836,19684,16.1,24.4,12.85,140.5,6480,2012,173,vehicle carrier,,140.5
413473010,9471197,A140013000060,滚装船,5836,19684,16.1,24.4,12.85,140.5,6480,2012,173,vehicle carrier,,140.5
