callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
3FXG9,Panama,9522776,352430000,Container,PANAMA,18,1060,,HSL AQUA,13.7,8.96,,15204,12559,5618,JAPAN SHIP MANAGEMENT CO LTD,HIRO SHIPPING PANAMA SA,2009,13403,9995
3FWZ7,Panama,9522788,357200000,Container,PANAMA,18,1060,,SINAR BRANI,13.7,8.96,,15204,12559,5618,DONGKUK MARINE CO LTD,HIRO SHIPPING PANAMA SA,2010,,9988
BPKF,China,9523005,414700000,Container,Shanghai,18,4738,,XIN QIN ZHOU,,13.5,,66904,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2012,,
BPKG,China,9523017,414713000,Container,Shanghai,18,4738,,XIN HANG ZHOU,,13.5,,67040,47917,24185,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2012,,
BPKH,China,9523029,414714000,Container,Shanghai,18,4738,,XIN ZHENG ZHOU,,13.5,,67041,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2012,,
BPKI,China,9523031,414721000,Container,Shanghai,18,4738,,XIN LAN ZHOU,,13.5,,67061,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2012,,
BPKJ,China,9523043,414736000,Container,,18,4738,,XIN WEN ZHOU,,13.5,,67052,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2013,,
BPKK,China,9523081,414752000,Container,,18,4738,,XIN XU ZHOU,,13.5,,66926,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2013,,
BPKL,China,9523093,414758000,Container,,18,4738,,XIN CANG ZHOU,,13.8,,67001,47917,22626,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2013,,
BPKM,China,9523108,414760000,Container,,18,4738,,XIN HUI ZHOU,,13.5,,66967,47917,24185,CHINA SHIPPING CONTAINER LINES,CHINA SHIPPING CONTAINER LINES,2013,,
9V9267,Singapore,9525285,564305000,Container,SINGAPORE,24.1,4496,,MAERSK CONAKRY,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9268,Singapore,9525297,564306000,Container,Singapore,24.1,4496,,MAERSK COTONOU,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9269,Singapore,9525302,564360000,Container,Singapore,21.3,4500,,MAERSK CALABAR,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9407,Singapore,9525314,566055000,Container,Singapore,24.1,4496,,MAERSK CAPE COAST,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9408,Singapore,9525326,566056000,Container,Singapore,21.3,4496,,MAERSK CAMEROUN,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9409,Singapore,9525338,566093000,Container,Singapore,21.3,4500,,MAERSK CHENNAI,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9498,Singapore,9525340,566145000,Container,Singapore,21.3,4496,,MAERSK CONGO,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
9V9558,Singapore,9525352,566187000,Container,Singapore,21.3,4496,,MAERSK CAPE TOWN,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2011,30843,23000
VRJT4,Hong Kong,9525364,477083700,Container,HONG KONG,21.3,4496,,SAFMARINE CHILKA,22.1,13.5,,61614,50869,28991,MAERSK LINE A/S,MAERSK SHIPPING HONG KONG LTD,2012,30843,23000
VRJT5,Hong Kong,9525376,477083800,Container,HONG KONG,21.3,4496,,SAFMARINE CHAMBAL,22.1,13.5,,61614,50869,28991,MOLLER-MAERSK A/S,MAERSK SHIPPING HONG KONG LTD,2012,30843,23000
VRJT6,Hong Kong,9525388,477174900,Container,HONG KONG,21.3,4496,,SAFMARINE CHACHAI,22.1,13.5,235,61614,50869,28991,MOLLER-MAERSK A/S,MAERSK SHIPPING HONG KONG LTD,2012,30843,23000
S6AN5,Singapore,9525390,566492000,Container,SINGAPORE,21.3,4496,,MAERSK COLOMBO,22.1,13.5,235,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2012,,
S6NY3,Singapore,9525405,566493000,Container,Singapore,21.3,4496,,MAERSK COPENHAGEN,22.1,13.5,235,61614,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2012,30843,23000
VRJU8,Hong Kong,9525455,477792900,Container,HONG KONG,21.3,4496,,MAERSK CABO VERDE,22.1,13.5,,61643,50869,28991,MAERSK LINE A/S,MAERSK SHIPPING HONG KONG LTD,2012,,23000
VRJU9,Hong Kong,9525467,477423100,Container,HONG KONG,21.3,4496,,MAERSK CASABLANCA,22.1,13.5,233,61588,50869,28991,MAERSK LINE A/S,MAERSK SHIPPING HONG KONG LTD,2012,30843,23000
VRJV2,Hong Kong,9525479,477174600,Container,HONG KONG,21.3,4496,,MAERSK CAIRO,22.1,13.5,233,61561,50869,28991,MAERSK LINE A/S,MAERSK SHIPPING HONG KONG LTD,2012,,
VRJV3,Hong Kong,9525481,477174700,Container,HONG KONG,21.3,4496,,MAERSK CUBANGO,22.1,13.5,233,61608,50869,28991,MAERSK LINE A/S,MAERSK SHIPPING HONG KONG LTD,2012,30843,23000
9V7037,Singapore,9525493,566491000,Container,Singapore,21.3,4496,,MAERSK CABINDA,22.1,13.5,233,61547,50869,28991,MAERSK LINE A/S,MOLLER SINGAPORE A P PTE LTD,2012,,
9HA2682,Malta,9525857,215237000,Container,VALLETTA MALTA,25,13296,,UMM SALAL,,15.5,,145327,141077,75670,UNITED ARAB SHIPPING CO,UMM SALAL LTD,2011,96231,71760
9HA2887,Malta,9525869,256603000,Container,Valletta,24.1,13296,,AIN SNAN,29.9,15.52,,145274,141077,75670,UNITED ARAB SHIPPING CO,AIN ESNAN LTD,2012,96231,71760
9HA2953,Malta,9525871,256885000,Container,Valletta,25.9,13296,,UNAYZAH,,15.5,,145520,141077,75760,UNITED ARAB SHIPPING CO,ONAYZAH LTD,2012,96231,71760
